2023-06-15 17:17:40 [INFO]  process: 7447. Connecting to the database... 
2023-06-15 17:17:42 [INFO]  process: 7447. Connect to the database succeed! 
2023-06-15 17:17:42 [INFO]  sendNeedPrivateKeyMessage,   smsTimeStamp = 1686820662055 
2023-06-15 17:17:42 [INFO]  process: 7447. This koa server is running at 0.0.0.0:3002 
2023-06-15 17:17:42 [ERROR]  There are failed functions where promise is not captured： logger.warn is not a function 
2023-06-15 17:17:42 [INFO]  [object Object] 
2023-06-15 17:28:44 [INFO]  process: 7553. Connecting to the database... 
2023-06-15 17:28:46 [INFO]  process: 7553. Connect to the database succeed! 
2023-06-15 17:28:46 [INFO]  sendNeedPrivateKeyMessage,   smsTimeStamp = 1686821326311 
2023-06-15 17:28:46 [INFO]  process: 7553. This koa server is running at 0.0.0.0:3002 
2023-06-15 17:28:46 [ERROR]  There are failed functions where promise is not captured： logger.warn is not a function 
2023-06-15 17:28:46 [INFO]  [object Object] 
2023-06-15 17:28:50 [ERROR]  IMX GetBalanceBySymbol failed: Sorry, miss param [starkContractAddress] 
2023-06-15 17:28:50 [ERROR]  GetTokenBalance fail, chainId: 4, makerAddress: 0x064A24243F2Aabae8D2148FA878276e6E6E452E3941b417f3c33b1649EA83e11,tokenAddress:0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7, tokenName: ETH, error:  Could not POST from endpoint `feeder_gateway/call_contract?blockNumber=pending`: Only absolute URLs are supported 
2023-06-15 17:28:50 [ERROR]  GetTokenBalance fail, chainId: 6, makerAddress: 0xE4eDb277e41dc89aB076a1F049f4a3EfA700bCE8,tokenAddress:0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619, tokenName: ETH, error:  (401)  Must be authenticated! 
2023-06-15 17:28:50 [ERROR]  GetTokenBalance fail, chainId: 6, makerAddress: 0xE4eDb277e41dc89aB076a1F049f4a3EfA700bCE8,tokenAddress:0x0000000000000000000000000000000000000000, tokenName: MATIC, error:  (401)  Must be authenticated! 
